关卡ID,HF-001
关卡名称,三英战吕布
关卡类型,生存/剧情关
难度,★★★★☆
推荐等级,25-28
游戏时长,15-20分钟
章节,第一章·第四回：虎牢关前
胜利条件,撑过8回合或全员撤退到安全区
失败条件,三英全灭
最大回合数,15
资源需求,角色：燎原火、刘备、关羽、张飞、吕布、并州铁骑；场景：虎牢关战场
剧情简介,虎牢关前，三英初次面对天下第一的吕布。这是一场不对等的战斗，硬拼必死，唯有智取。
关联剧情前置,三英战吕布
关联剧情后置,火烧洛阳
角色出场,燎原火/赵云、刘备、关羽、张飞（增援）、吕布、并州铁骑
情感基调,紧张→压迫→转机→释然
核心玩法,不胜而胜——撑过8回合或撤退到安全区即可胜利，无需击败吕布
特殊规则1,吕布不可被击败（血量锁定为1）
特殊规则2,刘备血量<30%触发"仁德"：回血20%（一次）
特殊规则3,第3回合并州铁骑增援
特殊规则4,第5回合张飞从(12,3)入场
角色1编号,1
角色1地图标识,火
角色1朝向,右
角色1角色实例,燎原火
角色1实例ID,hero_001
角色1等级,28
角色1血量,2800
角色1行为树,玩家控制
角色1队伍,友军
角色2编号,2
角色2地图标识,备
角色2朝向,右
角色2角色实例,刘备
角色2实例ID,hero_002
角色2等级,25
角色2血量,2500
角色2行为树,玩家控制
角色2队伍,友军
角色3编号,3
角色3地图标识,羽
角色3朝向,右
角色3角色实例,关羽
角色3实例ID,hero_003
角色3等级,26
角色3血量,2600
角色3行为树,玩家控制
角色3队伍,友军
角色4编号,4
角色4地图标识,飞
角色4朝向,左
角色4角色实例,张飞
角色4实例ID,hero_004
角色4等级,27
角色4血量,3000
角色4行为树,玩家控制
角色4队伍,友军(增援)
角色5编号,5
角色5地图标识,布
角色5朝向,左
角色5角色实例,吕布
角色5实例ID,boss_001
角色5等级,30
角色5血量,9999
角色5行为树,追击最低血量
角色5队伍,敌军
角色6编号,6
角色6地图标识,骑
角色6朝向,左
角色6角色实例,并州铁骑
角色6实例ID,enemy_001
角色6等级,22
角色6血量,1800
角色6行为树,巡逻/追击
角色6队伍,敌军
地形1编号,1
地形1地图标识,森林
地形1朝向,-
地形1实例ID,terrain_001
地形1类型,森林
地形1初始位置(XY),"(2,24)"
地形1血量,-
地形1特效,回避+20%
地形1行为树,-
地形2编号,2
地形2地图标识,森林
地形2朝向,-
地形2实例ID,terrain_002
地形2类型,森林
地形2初始位置(XY),"(3,24)"
地形2血量,-
地形2特效,回避+20%
地形2行为树,-
地形3编号,3
地形3地图标识,堡垒
地形3朝向,-
地形3实例ID,terrain_003
地形3类型,堡垒
地形3初始位置(XY),"(4,23)"
地形3血量,-
地形3特效,防御+2,回血
地形3行为树,-
战前演绎分镜1,1
战前演绎镜头1,远景→推近
战前演绎动作1,三英站立
战前演绎角色1,三英
战前演绎配音1,-
战前演绎备注1,紧张氛围
战后演绎分镜1,1
战后演绎镜头1,中景
战后演绎动作1,吕布收戟
战后演绎角色1,吕布
战后演绎配音1,哼，算你们走运
战后演绎备注1,认可三英
