关卡ID,HF-002
关卡名称,土山约三事
关卡类型,剧情/抉择/复合关
难度,★★★★☆
推荐等级,28-30
游戏时长,20-25分钟
章节,第二章·第一回：下邳之围
胜利条件,触发「约三事」剧情，保护甘糜夫人安全
失败条件,关羽或甘糜夫人阵亡
最大回合数,12
资源需求,角色：关羽、张辽、甘夫人、糜夫人、曹操军、夏侯惇；场景：土山战场
剧情简介,下邳陷落，关羽被困土山，甘糜二位夫人被俘。张辽奉曹操之命前来劝降，关羽面临人生最艰难的抉择——战死以全忠义，还是暂降以保护家眷？
关联剧情前置,三英战吕布、徐州失陷
关联剧情后置,斩颜良诛文丑、千里走单骑
角色出场,关羽、张辽、甘夫人、糜夫人、曹操军、夏侯惇
情感基调,绝境→挣扎→抉择→坚守→释然
核心玩法,约三事抉择——战斗中逐步解锁三个条件，全部触发后进入特殊剧情胜利
三事条件1,降汉不降曹：张辽与关羽相邻对话
三事条件2,善待家眷：甘糜夫人5回合内未受伤
三事条件3,得知去向即走：触发前两事后选择坚守条件
特殊规则1,张辽不可攻击：张辽为友方NPC，不会攻击关羽
特殊规则2,家眷保护：甘糜夫人不能被敌人攻击，需关羽护卫
特殊规则3,夏侯惇登场：第6回合夏侯惇从(0,12)入场，增加压力
特殊规则4,约三事判定：三条件全部满足后，可主动与张辽对话触发胜利
角色1编号,1
角色1地图标识,关
角色1朝向,下
角色1角色实例,关羽
角色1实例ID,hero_005
角色1等级,30
角色1血量,3500
角色1行为树,玩家控制
角色1队伍,友军
角色1特殊,主控
角色2编号,2
角色2地图标识,甘
角色2朝向,下
角色2角色实例,甘夫人
角色2实例ID,npc_001
角色2等级,20
角色2血量,1500
角色2行为树,跟随关羽
角色2队伍,友军
角色2特殊,保护对象
角色3编号,3
角色3地图标识,糜
角色3朝向,下
角色3角色实例,糜夫人
角色3实例ID,npc_002
角色3等级,20
角色3血量,1500
角色3行为树,跟随关羽
角色3队伍,友军
角色3特殊,保护对象
角色4编号,4
角色4地图标识,张
角色4朝向,上
角色4角色实例,张辽
角色4实例ID,hero_006
角色4等级,28
角色4血量,3000
角色4行为树,向关羽移动/对话
角色4队伍,友军(NPC)
角色4特殊,不可控
角色5编号,5
角色5地图标识,曹
角色5朝向,随机
角色5角色实例,曹操军
角色5实例ID,enemy_003
角色5等级,24
角色5血量,2200
角色5行为树,攻击家眷/关羽
角色5队伍,敌军
角色5特殊,×6
角色6编号,6
角色6地图标识,夏
角色6朝向,右
角色6角色实例,夏侯惇
角色6实例ID,boss_002
角色6等级,32
角色6血量,4000
角色6行为树,追击关羽
角色6队伍,敌军
角色6特殊,第6回合登场
地形1编号,1
地形1地图标识,山
地形1朝向,-
地形1实例ID,terrain_006
地形1类型,山地
地形1初始位置(XY),"(2,14)"
地形1血量,-
地形1特效,防御+3,移动力-1
地形1行为树,-
地形2编号,2
地形2地图标识,山
地形2朝向,-
地形2实例ID,terrain_007
地形2类型,山地
地形2初始位置(XY),"(3,14)"
地形2血量,-
地形2特效,防御+3,移动力-1
地形2行为树,-
地形3编号,3
地形3地图标识,山
地形3朝向,-
地形3实例ID,terrain_008
地形3类型,山口
地形3初始位置(XY),"(2,13)"
地形3血量,-
地形3特效,一夫当关
地形3行为树,-
战前演绎分镜1,1
战前演绎镜头1,远景
战前演绎动作1,土山孤城，曹军包围
战前演绎角色1,曹军
战前演绎配音1,喊杀声
战前演绎备注1,绝境氛围
战后演绎分镜1,1
战后演绎镜头1,中景
战后演绎动作1,关羽收刀，扶起张辽
战后演绎角色1,关羽
战后演绎配音1,文远之情，某知矣
战后演绎备注1,接受劝降
